obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
278; 288.0;917517;72275;28789;15454;19986;20909;9310;4002;29;67; NA;1088242;1
279; 288.9;514367;184392;16343;2917;2545;3131;1645;1930;21;51; NA;727270;1
280; 289.9;443964;67658;36807;7843;3473;4523;1828;1710;29;57; NA;567806;1
281; 290.9;589069;893692;26287;9650;13824;7720;7535;2516;26;37; NA;1550293;1
282; 291.9;1955497;245829;28099;64287;13809;23356;6671;10167;16;35; NA;2347715;1
283; 292.9;195023;54444;17008;11396;6874;3140;2845;2161;24;50; NA;292891;1
284; 294.0;489163;374049;87346;25013;9777;6871;2587;4199;14;43; NA;999005;1
285; 295.0;477351;34466;16125;4771;1075;1860;1277;789;27;70; NA;537714;1
286; 295.9;286031;221854;1362;9682;5930;8803;7033;4464;23;48; NA;545159;1
287; 296.9;1015432;118006;1716;14289;20829;7654;3879;4415;26;35; NA;1186220;1
288; 297.9;1942647;436564;99297;27838;27878;18208;13617;8106;34;34; NA;2574155;1
289; 298.9;474632;199155;145676;24476;17801;15479;5392;5254;37;37; NA;887865;1
290; 299.9;980812;215936;121105;41876;31955;19412;6024;14642;40;64; NA;1431762;1
291; 300.9;155927;44457;11524;9622;9066;4093;2213;1623;40;77; NA;238525;1
292; 301.9;929909;126431;28803;2597;7171;6719;3109;5445;43;75; NA;1110184;1
293; 302.9;824959;102602;55957;6770;11204;4370;2750;1940;38;70; NA;1010552;1
294; 303.9;1313866;144437;23537;15905;3915;2633;5970;2881;26;63; NA;1513144;1
295; 305.0;2363445;227950;135986;30680;26887;27291;9521;7340;27;69; NA;2829100;1
296; 305.9;116717;29364;3347;2228;1798;1523;1257;1406;26;64; NA;157640;1
297; 306.9;167932;43433;8186;8914;20000;9193;3986;2983;43;56; NA;264627;1
298; 307.9;914225;337735;61076;38573;6110;6814;3658;2960;43;57; NA;1371151;1
299; 308.9;25262;4664;1373;9681;6759;5375;4697;3060;57;57; NA;60871;1
300; 309.9;798319;73176;26944;3122;2326;4748;2485;1423;60;67; NA;912543;1
301; 310.9;120565;97869;4296;10247;3894;1122;1523;1515;35;63; NA;241031;1
302; 312.0;949873;402729;301299;12878;9294;13649;14485;5213;37;74; NA;1709420;1
303; 312.9;488097;102371;12544;6460;5952;7128;3500;1722;21;57; NA;627774;1
304; 313.9;1350287;623137;63610;47312;17895;6535;10018;3960;4;50; NA;2122754;1
