obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
144, 150.0, 415181, 40161, 9654, 8646, 3879, 3093, 1387, 1382, 16, 44, NA, 483383,  X*
145, 150.9, 308565, 84579, 7710, 19811, 5608, 4333, 1389, 1060, 27, 51, NA, 433055,  X*
146, 151.9, 354655, 5642, 3709, 6099, 5313, 4730, 1384, 1095, 48, 56, NA, 382627,  X*
147, 153.0, 143310, 15989, 9783, 3302, 3067, 2739, 189, 246, 56, 48, NA, 178625,  X*
148, 153.9, 174840, 19257, 6377, 16386, 6991, 5099, 2104, 2169, 66, 54, NA, 233223,  X*
149, 155.1, 174369, 22688, 13888, 34632, 15752, 17262, 3925, 3806, 90, 66, NA, 286322,  X*
150, 155.9, 271346, 21006, 10197, 11704, 17542, 6655, 745, 292, 80, 63, NA, 339487,  X*
151, 156.9, 173787, 66981, 62619, 17998, 10333, 5597, 3326, 1291, 67, 67, NA, 341932,  X*
152, 158.9, 460367, 28867, 27098, 6972, 4307, 1912, 294, 179, 51, 74, NA, 529996,  X*
153, 159.9, 21457, 41026, 15433, 4145, 2106, 2552, 1824, 453, 7, 67, NA, 88996,  X*
154, 160.9, 52338, 52295, 140722, 14338, 17208, 12563, 1669, 2952, 14, 77, NA, 294085,  X*
155, 161.9, 38742, 20452, 83675, 1952, 9711, 10079, 3460, 1292, 29, 84, NA, 169363,  X*
156, 162.9, 15821, 13187, 46528, 12013, 4521, 7084, 3353, 2232, 44, 100, NA, 104739,  X*
157, 163.9, 102696, 17348, 58096, 3311, 37104, 2684, 3468, 2462, 43, 100, NA, 227169,  X*
158, 164.9, 260803, 55346, 7658, 11885, 7510, 3022, 520, 1070, 37, 88, NA, 347814,  X*
159, 165.9, 18108, 30638, 88125, 10249, 13508, 5452, 2583, 1650, 24, 88, NA, 170313,  X*
160, 166.9, 299122, 25497, 17457, 4109, 2754, 3561, 1234, 311, 21, 74, NA, 354045,  X*
161, 167.9, 44019, 46083, 25462, 6377, 29028, 6975, 3161, 2277, 35, 61, NA, 163382,  X*
162, 168.9, 34465, 30041, 92832, 9693, 16929, 11231, 4432, 3165, 43, 81, NA, 202788,  X*
163, 169.9, 41511, 21816, 26572, 24851, 12222, 7086, 1442, 1767, 54, 77, NA, 137267,  X*
164, 170.9, 98582, 13443, 20058, 4285, 5361, 3329, 1220, 395, 56, 81, NA, 146673,  X*
165, 171.9, 30380, 24404, 71649, 39569, 19434, 2868, 1727, 1949, 38, 100, NA, 191980,  X*
166, 172.9, 37003, 24825, 59686, 13758, 11956, 7004, 2974, 2376, 38, 100, NA, 159582,  X*
167, 173.9, 134400, 33472, 9514, 7269, 3911, 4297, 665, 915, 37, 91, NA, 194443,  X*
168, 174.9, 75631, 112668, 129985, 28073, 32009, 7818, 5783, 1035, 23, 90, NA, 393002,  X*
169, 175.9, 192284, 93720, 15909, 16314, 23030, 15573, 3692, 2167, 44, 63, NA, 362689,  X*
170, 176.9, 1661003, 139656, 22954, 14908, 15247, 5521, 2314, 1846, 35, 41, NA, 1863449,  X*
171, 177.9, 35245, 32267, 73049, 33392, 24975, 4474, 3502, 3104, 21, 56, NA, 210008,  X*
172, 178.9, 41141, 46422, 27765, 10465, 17659, 11346, 6991, 2650, 40, 48, NA, 164439,  X*
173, 179.9, 725352, 36505, 7669, 2422, 4489, 2417, 484, 425, 29, 48, NA, 779763,  X*
174, 181.0, 47985, 15084, 60270, 40453, 14643, 11418, 3238, 1743, 43, 75, NA, 194834,  X
175, 181.9, 63828, 25578, 24870, 14442, 10666, 4489, 4269, 2627, 53, 69, NA, 150769,  X
