obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
192, 206.9, 823795, 119713, 15506, 7742, 14208, 6030, 10171, 6229, 24, 53, NA, 1003394,  X
193, 208.0, 371991, 57067, 19824, 15491, 5371, 5345, 5396, 2692, 20, 57, NA, 483177,  X
194, 208.9, 1403672, 108221, 30483, 19330, 7234, 25339, 23030, 11522, 16, 54, NA, 1628831,  X
195, 209.9, 1639159, 283383, 45840, 33098, 33046, 11215, 11308, 5630, 1, 54, NA, 2062679,  X
196, 210.9, 1514337, 33711, 10453, 12481, 10626, 5971, 7159, 3446, 10, 63, NA, 1598184,  X
197, 211.9, 1805000, 232841, 49557, 8022, 56788, 19010, 20037, 14075, 11, 54, NA, 2205330,  X
198, 212.9, 692517, 57837, 28152, 8124, 4644, 7682, 19708, 4930, 4, 57, NA, 823594,  X
199, 214.0, 309592, 32269, 7132, 12887, 7601, 8127, 14341, 8342, 23, 63, NA, 400291,  X
200, 214.9, 209294, 150561, 19033, 17163, 4334, 11916, 9226, 6549, 16, 56, NA, 428076,  X
201, 215.9, 1277531, 281906, 2403, 9601, 13993, 4911, 15457, 4782, 7, 40, NA, 1610584,  X
202, 217.0, 368184, 138113, 13471, 11187, 2662, 8030, 21384, 12695, 4, 29, NA, 575726,  X
203, 217.9, 268026, 56804, 2434, 9485, 8625, 6431, 5406, 7568, 1, 21, NA, 364779,  X
204, 219.0, 986054, 523703, 47546, 49562, 21575, 35471, 82588, 38845, 1, 17, NA, 1785344,  X
205, 219.9, 935011, 28872, 10972, 7932, 4964, 6281, 6519, 3468, 21, 43, NA, 1004019,  X
206, 221.0, 1615953, 435594, 45423, 4432, 32526, 16727, 19403, 19880, 17, 38, NA, 2189938,  X
207, 221.9, 993168, 572457, 70060, 273015, 45551, 53662, 173731, 40403, 14, 50, NA, 2222047,  X
208, 222.9, 426176, 7967, 15853, 13401, 3050, 1677, 4571, 2723, 13, 75, NA, 475418,  X
209, 223.9, 376143, 191646, 35590, 33420, 23669, 36570, 35898, 16451, 13, 67, NA, 749387,  X
210, 224.9, 1523401, 261663, 50138, 6512, 41728, 18347, 57097, 11784, 16, 74, NA, 1970670,  X
211, 226.0, 949519, 321423, 66568, 29519, 12107, 11407, 33355, 8793, 10, 67, NA, 1432691,  X
212, 227.9, 1099773, 166235, 58083, 12212, 43525, 27854, 26343, 13639, 17, 48, NA, 1447664,  X
213, 228.9, 535417, 2070554, 99318, 168439, 54941, 63491, 91049, 58907, 3, 41, NA, 3142116,  X
214, 230.0, 141454, 158995, 31300, 11863, 14074, 10085, 15326, 12604, 1, 43, NA, 395701,  X
215, 230.9, 433610, 407956, 31236, 18724, 14734, 11773, 15988, 14293, 1, 35, NA, 948314,  X
216, 232.0, 1152924, 390749, 14509, 193098, 146259, 48405, 101074, 62259, 1, 37, NA, 2109277,  X
217, 233.0, 1442657, 1605808, 145594, 60982, 29294, 84915, 53517, 72076, 1, 37, NA, 3494843,  X
218, 233.9, 297828, 218297, 10661, 6618, 36648, 11521, 8391, 10738, 1, 24, NA, 600702,  X
219, 234.9, 1675721, 181905, 20516, 13829, 9968, 20969, 10644, 15179, 14, 27, NA, 1948731,  X
220, 235.9, 472868, 155502, 14242, 30176, 8048, 16472, 13153, 17430, 16, 24, NA, 727891,  X
221, 237.0, 98327, 72752, 36467, 8349, 10467, 10604, 14081, 4321, 21, 38, NA, 255368,  X
222, 237.9, 787500, 623229, 41159, 63748, 34976, 32683, 23394, 25991, 20, 47, NA, 1632680,  X
223, 238.9, 523695, 143233, 8972, 8131, 13212, 5717, 3876, 3820, 11, 41, NA, 710656,  X
224, 239.9, 2253546, 343844, 54839, 46325, 28990, 31251, 25357, 22154, 10, 41, NA, 2806306,  X
225, 240.9, 1235424, 173655, 54000, 41590, 11801, 15735, 20663, 13666, 7, 41, NA, 1566534,  X
226, 241.9, 95777, 23724, 1688, 1668, 1141, 4304, 3039, 1476, 17, 40, NA, 132817,  X
227, 242.9, 109329, 28918, 6132, 11372, 6802, 33506, 17446, 12819, 48, 47, NA, 226324,  X
228, 244.0, 86702, 26231, 8668, 6069, 12371, 19499, 17865, 9872, 66, 47, NA, 187277,  X
229, 244.9, 166373, 169003, 59612, 25234, 24944, 16716, 18572, 24643, 69, 47, NA, 505097,  X
230, 246.0, 220841, 14137, 9224, 9523, 4313, 3612, 3011, 2087, 64, 64, NA, 266748,  X
231, 246.9, 1225791, 18871, 16290, 3878, 5790, 8996, 6623, 4583, 53, 74, NA, 1290822,  X
232, 247.9, 1200133, 128349, 6719, 6758, 6790, 10101, 9258, 15594, 35, 63, NA, 1383702,  X
233, 248.9, 627880, 139176, 28727, 10464, 9702, 39638, 40970, 48799, 47, 56, NA, 945356,  X
234, 249.9, 216155, 49596, 42300, 31332, 14899, 39161, 26275, 22574, 56, 54, NA, 442292,  X
235, 251.0, 491086, 159413, 66390, 23872, 30611, 44384, 30569, 22958, 53, 51, NA, 869283,  X
236, 251.9, 1738377, 151130, 92289, 42694, 77878, 32911, 17894, 32196, 60, 67, NA, 2185369,  X
237, 252.9, 244245, 81893, 9163, 5680, 4243, 23977, 15042, 9446, 60, 63, NA, 393689,  X
238, 253.9, 213820, 126477, 6840, 23089, 3745, 34434, 29925, 51116, 57, 51, NA, 489446,  X
239, 254.9, 189448, 39804, 10167, 5422, 1753, 13051, 7831, 3778, 61, 48, NA, 271254,  X
240, 255.9, 1363917, 120522, 12318, 565, 2639, 7842, 10671, 8187, 53, 30, NA, 1526661,  X
241, 256.9, 948355, 149456, 23884, 10799, 3179, 4533, 4078, 5898, 30, 37, NA, 1150182,  X
242, 257.9, 814542, 61446, 107967, 17716, 111508, 74814, 91356, 45100, 37, 47, NA, 1324449,  X
