obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
129, 131.0, 626141, 21937, 52185, 44605, 27828, 20460, 12891, 11198, 53, 70, NA, 817245,  X*
130, 132.0, 55104, 25476, 18008, 6527, 16796, 20835, 5962, 2747, 74, 74, NA, 151455,  X*
131, 133.1, 254290, 150619, 8073, 90992, 14738, 10569, 4424, 3954, 61, 67, NA, 537659,  X*
132, 134.0, 33647, 27563, 7377, 45629, 9121, 15288, 4089, 2674, 70, 69, NA, 145388,  X*
133, 135.0, 39121, 34829, 20685, 27354, 15585, 13315, 3574, 3479, 70, 63, NA, 157942,  X*
134, 136.1, 20911, 48154, 40829, 72740, 54265, 4574, 6094, 3428, 38, 75, NA, 250995,  X*
135, 137.0, 164070, 38269, 79208, 29281, 7005, 8451, 5676, 7014, 43, 87, NA, 338974,  X*
136, 138.0, 131628, 49088, 3764, 34061, 12467, 8957, 9414, 3244, 35, 80, NA, 252623,  X*
137, 139.0, 62574, 92874, 60506, 9814, 10918, 14694, 11743, 12400, 27, 78, NA, 275523,  X*
138, 140.1, 94612, 39592, 8685, 15697, 6488, 1848, 772, 1497, 27, 70, NA, 169191,  X*
139, 141.1, 30909, 64326, 8521, 33352, 18787, 9531, 7620, 4332, 35, 57, NA, 177378,  X*
140, 142.0, 130792, 89652, 43034, 8206, 7861, 7274, 3299, 9694, 26, 56, NA, 299812,  X*
141, 143.1, 2321393, 94150, 33398, 36038, 5637, 20010, 17500, 41641, 27, 56, NA, 2569767,  X*
142, 144.0, 86662, 43567, 35880, 68694, 22924, 11776, 43510, 15189, 41, 66, NA, 328202,  X*
143, 145.0, 1007125, 180557, 23557, 18678, 16036, 14832, 31766, 14019, 37, 57, NA, 1306570,  X*
144, 146.0, 1096397, 41926, 13090, 4240, 5524, 3150, 679, 871, 37, 54, NA, 1165877,  X*
145, 147.1, 448115, 130096, 11597, 2986, 7198, 5210, 8449, 4649, 21, 37, NA, 618300,  X*
146, 148.2, 42349, 11460, 4734, 16921, 3898, 3343, 2392, 2130, 24, 35, NA, 87227,  X*
147, 149.0, 15526, 7359, 8144, 13879, 4235, 4342, 6154, 1556, 35, 53, NA, 61195,  X*
148, 150.0, 383433, 203918, 71659, 60764, 24099, 18707, 25003, 28252, 37, 57, NA, 815835,  X*
149, 151.0, 1067574, 31773, 24887, 3405, 8297, 7312, 5866, 6152, 51, 75, NA, 1155266,  X*
150, 152.0, 95036, 35857, 18739, 109256, 50237, 58529, 20786, 12013, 66, 74, NA, 400453,  X*
151, 153.0, 1604531, 136045, 37883, 11513, 13809, 39421, 24178, 9853, 70, 57, NA, 1877233,  X*
152, 154.0, 989150, 315221, 14288, 29314, 42034, 14103, 20469, 15657, 66, 41, NA, 1440236,  X*
153, 155.0, 69990, 41222, 34069, 113338, 29143, 19625, 31035, 16037, 64, 53, NA, 354459,  X*
154, 156.0, 452795, 9243, 8836, 10676, 5206, 6161, 3376, 1737, 57, 53, NA, 498030,  X*
155, 157.0, 377423, 148072, 26935, 50959, 29420, 30239, 7324, 4557, 53, 56, NA, 674929,  X*
156, 158.0, 265097, 131355, 76838, 37571, 55612, 26423, 41057, 9677, 63, 70, NA, 643630,  X*
157, 159.0, 404387, 30885, 50451, 48222, 11283, 13563, 8418, 4145, 63, 70, NA, 571354,  X*
158, 160.0, 713689, 70565, 21753, 43656, 14668, 11046, 3745, 3059, 51, 69, NA, 882181,  X*
159, 161.0, 10827, 16566, 1370, 47708, 22576, 10719, 5732, 1305, 51, 78, NA, 116803,  X*
160, 162.0, 315446, 29507, 21206, 31105, 40285, 40624, 6962, 924, 74, 77, NA, 486059,  X*
161, 163.0, 471748, 77583, 58999, 55127, 39307, 20372, 6339, 5097, 74, 67, NA, 734572,  X*
162, 164.0, 15066, 9971, 15305, 59715, 13799, 8401, 6005, 2216, 77, 80, NA, 130478,  X*
163, 165.0, 115229, 3711, 9610, 5885, 9456, 3999, 557, 906, 81, 80, NA, 149353,  X*
164, 166.0, 484184, 20771, 40854, 103276, 52816, 15032, 3658, 3699, 60, 93, NA, 724290,  X*
165, 167.0, 63860, 45378, 19567, 25082, 20008, 7792, 8674, 1644, 57, 91, NA, 192005,  X*
166, 169.0, 76454, 33866, 18108, 63475, 12138, 7247, 3758, 3420, 51, 87, NA, 218466,  X*
167, 170.1, 1028511, 22028, 92209, 148735, 28095, 17489, 8482, 5242, 38, 100, NA, 1350791,  X*
168, 171.0, 628587, 43100, 21564, 24163, 23092, 14359, 7903, 14787, 47, 100, NA, 777555,  X*
169, 172.0, 129823, 37480, 33324, 24362, 16625, 17149, 5028, 5622, 60, 94, NA, 269413,  X*
