obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
156, 169.0, 20086, 14701, 2064, 4518, 4749, 4488, 3817, 2943, 100, 35, NA, 57366,  1*
157, 170.0, 26308, 7806, 2688, 4988, 6884, 3327, 2962, 1653, 100, 35, NA, 56616,  1*
158, 171.0, 26903, 8688, 17820, 4373, 3220, 3723, 3053, 1578, 100, 50, NA, 69358,  1*
159, 172.0, 19335, 7862, 313, 3718, 3215, 3919, 3593, 4079, 100, 47, NA, 46034,  1*
160, 173.0, 22670, 6320, 2247, 1040, 4477, 3612, 3562, 1111, 100, 44, NA, 45039,  1*
161, 174.0, 3265, 8619, 4669, 2126, 2400, 4279, 3478, 952, 100, 44, NA, 29788,  1*
162, 175.0, 25324, 16965, 1530, 1816, 3410, 4571, 3537, 3394, 100, 20, NA, 60547,  1*
163, 176.0, 5018, 11990, 2299, 3704, 2967, 3903, 2215, 1743, 100, 21, NA, 33839,  1*
164, 177.0, 9928, 6355, 5505, 2972, 4513, 2482, 5446, 1523, 100, 34, NA, 38724,  1*
165, 178.0, 9454, 3718, 3387, 1953, 8347, 6307, 2688, 1580, 100, 27, NA, 37434,  1*
166, 179.0, 10855, 2876, 10861, 5376, 7337, 3699, 1986, 1840, 100, 53, NA, 44830,  1*
167, 180.0, 8615, 4226, 5596, 6679, 4302, 3681, 2608, 1965, 100, 67, NA, 37672,  1*
168, 181.0, 12082, 7351, 7553, 2652, 5151, 3665, 3767, 2342, 100, 66, NA, 44563,  1
169, 182.0, 14008, 44692, 36729, 6848, 9084, 5402, 3217, 1862, 88, 77, NA, 121842,  1
170, 183.0, 38163, 42714, 25233, 8141, 11307, 4016, 1369, 1996, 78, 67, NA, 132939,  1
171, 184.0, 138466, 30355, 17124, 12819, 6774, 4446, 4156, 2323, 69, 64, NA, 216463,  1
172, 185.0, 33462, 7241, 4292, 4577, 4001, 2053, 3097, 3601, 66, 66, NA, 62324,  1
173, 186.0, 33430, 60531, 52451, 27892, 5685, 5608, 3360, 3492, 63, 70, NA, 192449,  1
174, 187.0, 95786, 28301, 1311, 7516, 2402, 1574, 1643, 1049, 61, 61, NA, 139582,  1
175, 188.0, 50478, 60643, 23577, 4822, 5108, 3646, 3614, 1993, 57, 54, NA, 153881,  1
176, 189.0, 10972, 6476, 8645, 2747, 4336, 7340, 3425, 1684, 66, 54, NA, 45625,  1
