obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
241; 246.9;54204;15789;11190;2474;6865;2360;917;353;70;56; NA;94152;1
242; 247.9;6168;33669;9767;7988;10332;3503;3312;3296;80;63; NA;78035;1
243; 249.0;62711;7081;5589;1387;1124;1002;735;583;78;70; NA;80212;1
244; 249.9;278153;148167;53439;29828;34306;4420;2827;4247;54;77; NA;555387;1
245; 250.9;21050;23104;3246;3170;9307;4841;2364;2596;61;63; NA;69678;1
246; 251.9;56368;80448;63245;49154;47309;4619;2694;1575;51;69; NA;305412;1
247; 253.0;177834;12362;10760;1282;1788;1306;905;203;50;69; NA;206440;1
248; 253.9;34254;13699;8776;3228;4019;4294;4481;2638;69;70; NA;75389;1
249; 255.0;27380;7516;3409;8625;2914;2256;3924;1962;66;90; NA;57986;1
250; 256.0;57468;29089;19185;1858;3246;1890;559;687;69;87; NA;113982;1
251; 256.9;6580;18013;9914;1160;5410;2954;1600;2621;75;81; NA;48252;1
252; 258.0;12192;18488;14857;15549;6302;4781;2606;1576;69;87; NA;76351;1
253; 258.9;167600;21143;4418;1986;1511;1351;405;335;61;75; NA;198749;1
254; 260.0;234728;48025;2908;4754;4824;9663;2218;814;77;57; NA;307934;1
255; 260.9;73406;51386;28050;14671;6698;11898;6640;2732;78;61; NA;195481;1
256; 261.9;272072;78281;40595;27385;6438;7208;4723;5143;70;57; NA;441845;1
257; 262.9;78350;27667;18021;13183;6060;7932;5711;3741;81;69; NA;160665;1
258; 263.9;398564;42137;18200;10846;12102;6728;9585;4249;77;84; NA;502411;1
259; 264.9;282032;34372;5408;17559;9474;7212;7841;2972;77;83; NA;366870;1
260; 265.9;276601;28881;3378;3850;11491;4607;4520;2738;84;66; NA;336066;1
261; 267.0;76748;22485;2712;4196;3034;979;830;560;74;56; NA;111544;1
262; 267.9;22286;21719;4845;4665;13296;8014;2926;4253;81;48; NA;82004;1
263; 268.9;121394;191333;65031;8820;4528;2730;3795;4450;56;47; NA;402081;1
264; 269.9;365614;63630;37851;9087;17845;5763;6489;4486;50;57; NA;510765;1
265; 270.9;86138;13325;5909;1968;6001;4840;2229;2477;66;60; NA;122887;1
266; 271.9;347838;56648;3567;5640;8543;4645;2719;3623;54;53; NA;433223;1
