obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
134, 142.0, 586640, 51157, 34708, 34474, 25929, 8022, 6556, 3486, 84, 47, NA, 750972,  X*
135, 144.0, 135473, 42330, 47866, 13610, 20699, 8954, 6721, 3178, 90, 60, NA, 278831,  X*
136, 145.0, 1100422, 124613, 39643, 51908, 31224, 18163, 8183, 6340, 80, 81, NA, 1380496,  X*
137, 146.0, 49293, 41395, 8718, 31732, 21337, 9259, 7641, 4887, 77, 81, NA, 174262,  X*
138, 147.0, 98758, 65936, 15454, 19042, 14330, 14445, 6040, 3691, 84, 74, NA, 237696,  X*
139, 148.0, 688894, 232463, 28063, 25468, 44431, 13053, 2724, 2623, 77, 56, NA, 1037719,  X*
140, 149.0, 340392, 59950, 78980, 38243, 29633, 10671, 6001, 3634, 75, 64, NA, 567504,  X*
141, 150.0, 1958555, 21133, 25453, 19715, 16471, 2759, 5414, 4210, 60, 74, NA, 2053710,  X*
142, 151.0, 56879, 62900, 10751, 13982, 19801, 9636, 9911, 4713, 56, 69, NA, 188573,  X*
143, 152.0, 6292, 28406, 16423, 6381, 41979, 5000, 4498, 2865, 66, 75, NA, 111844,  X*
144, 153.0, 109091, 83188, 6410, 18855, 48967, 21940, 2630, 2251, 80, 51, NA, 293332,  X*
145, 154.0, 30227, 28361, 31745, 1659, 9249, 3785, 621, 519, 84, 48, NA, 106166,  X*
146, 155.0, 336959, 51185, 119201, 23699, 16779, 10605, 4666, 1135, 77, 69, NA, 564229,  X*
147, 156.0, 220243, 68089, 36187, 30930, 36113, 8214, 4844, 2000, 70, 78, NA, 406620,  X*
148, 157.0, 236595, 130172, 43234, 31591, 16147, 11013, 5845, 3335, 56, 90, NA, 477932,  X*
149, 158.0, 35235, 65463, 30040, 31561, 12984, 11385, 3988, 2013, 61, 90, NA, 192669,  X*
150, 159.0, 392017, 111166, 59541, 47357, 16356, 13676, 3790, 1720, 63, 80, NA, 645623,  X*
151, 160.0, 453626, 34865, 52329, 33491, 16318, 11272, 5223, 1872, 67, 87, NA, 608996,  X*
152, 161.0, 65110, 20162, 5733, 5130, 2781, 1743, 1208, 790, 67, 84, NA, 102657,  X*
153, 162.0, 580248, 84424, 44684, 14571, 24952, 9909, 6067, 2984, 63, 80, NA, 767839,  X*
154, 163.0, 109469, 65851, 4418, 6014, 9741, 7691, 3943, 5526, 67, 61, NA, 212653,  X*
155, 164.0, 75899, 29700, 16733, 23032, 31206, 7570, 8120, 7616, 67, 51, NA, 199876,  X*
156, 165.0, 363824, 54408, 45527, 14940, 7443, 14036, 16880, 4442, 77, 57, NA, 521500,  X*
157, 166.0, 32248, 24817, 5249, 5370, 5248, 2041, 1184, 1016, 75, 53, NA, 77173,  X*
158, 167.0, 135647, 73510, 38240, 19197, 13457, 8460, 12574, 6495, 69, 70, NA, 307580,  X*
159, 168.0, 129678, 38045, 43985, 4958, 19283, 6209, 5101, 2458, 64, 75, NA, 249717,  X*
160, 169.0, 107044, 155953, 60374, 11890, 20950, 17710, 4188, 3532, 61, 66, NA, 381641,  X*
161, 170.0, 46193, 26193, 15665, 10151, 7014, 11957, 10304, 2355, 78, 70, NA, 129832,  X*
162, 171.0, 284387, 28057, 6694, 3809, 2108, 2509, 792, 909, 78, 64, NA, 329265,  X*
163, 172.0, 49683, 83391, 10751, 4912, 6083, 5832, 2068, 1182, 75, 50, NA, 163902,  X*
164, 173.0, 591240, 80481, 90602, 28281, 24648, 16961, 9227, 3266, 77, 60, NA, 844706,  X*
165, 174.0, 71334, 151314, 55042, 41756, 23663, 10468, 1793, 2158, 54, 60, NA, 357528,  X*
166, 175.0, 9600, 11543, 27413, 2547, 12052, 8361, 3150, 1273, 69, 69, NA, 75939,  X*
167, 176.0, 28978, 25871, 14739, 9482, 56623, 6166, 3062, 1061, 80, 75, NA, 145982,  X*
168, 177.0, 23040, 13565, 14046, 10649, 79013, 13921, 2935, 875, 93, 57, NA, 158044,  X*
169, 178.0, 5794, 62237, 20505, 3925, 28658, 4658, 1733, 4488, 96, 51, NA, 131998,  X*
170, 179.0, 56968, 16607, 15094, 2267, 1912, 3230, 996, 418, 84, 50, NA, 97492,  X*
171, 180.0, 39655, 15138, 23767, 752, 4850, 3637, 1738, 1123, 80, 64, NA, 90660,  X*
172, 181.0, 948338, 84793, 82665, 13955, 18954, 26050, 4141, 3220, 69, 77, NA, 1182116,  X
173, 182.0, 565073, 62541, 57781, 23495, 25877, 10793, 6466, 2844, 70, 90, NA, 754870,  X
174, 183.0, 1390611, 102975, 34480, 32268, 21333, 9517, 5540, 3926, 67, 83, NA, 1600650,  X
175, 184.0, 255738, 39365, 19526, 16858, 41622, 13132, 4515, 3875, 74, 74, NA, 394631,  X
176, 185.0, 37455, 93858, 7416, 10576, 17518, 10980, 4622, 2385, 69, 56, NA, 184810,  X
177, 186.0, 93772, 24629, 31630, 4414, 90375, 18116, 11282, 2392, 84, 43, NA, 276610,  X
178, 187.0, 2137411, 373105, 95333, 48752, 26220, 9188, 6398, 2968, 70, 40, NA, 2699375,  X
179, 188.0, 131070, 39247, 17796, 11450, 1263, 2962, 1075, 722, 54, 47, NA, 205585,  X
180, 189.0, 606598, 138065, 17118, 23110, 21336, 10083, 5842, 1744, 50, 51, NA, 823896,  X
181, 190.0, 13800, 45531, 6748, 6456, 6415, 2700, 1196, 1125, 27, 50, NA, 83971,  X
182, 191.0, 81162, 29562, 29648, 25715, 19895, 12053, 9307, 7812, 51, 60, NA, 215154,  X
183, 192.0, 78014, 30191, 35955, 10065, 12108, 6274, 2994, 1273, 60, 63, NA, 176874,  X
184, 193.0, 84481, 19810, 14312, 3368, 9373, 12158, 5622, 1828, 78, 69, NA, 150952,  X
185, 194.0, 106581, 17772, 8596, 4742, 21661, 5381, 4633, 1158, 93, 75, NA, 170524,  X
186, 195.0, 37253, 5024, 19532, 3435, 7889, 9611, 5250, 4709, 100, 77, NA, 92703,  X
187, 196.0, 19604, 18228, 15290, 17975, 5864, 5868, 1497, 1976, 100, 78, NA, 86302,  X
188, 197.0, 10240, 18079, 6120, 43391, 13173, 4870, 3231, 2833, 91, 91, NA, 101937,  X
189, 198.0, 16213, 9693, 50368, 5654, 11267, 8314, 1694, 1268, 88, 100, NA, 104471,  X
190, 199.0, 34382, 28194, 2568, 4665, 14043, 7579, 1954, 1861, 81, 90, NA, 95246,  X
191, 200.0, 8424, 22683, 13956, 5371, 4877, 11328, 4682, 1003, 91, 80, NA, 72324,  X
192, 201.0, 41861, 16044, 15713, 39491, 7072, 5943, 7671, 3768, 93, 83, NA, 137563,  X
